"","x"
"645","@JerryMackinem In OAA, fielders are evaluated from their starting location.  So, regardless of where the SS and 3B are standing, the 2B is evaluated from his location.  In other words: the shift doesn't matter."
"646","@mattham2 It's actually one of the very next things in our pipeline.  We're in the ""how to make this pretty"" stage right now."
"647","@JerryMackinem No, the OAA of a fielder is not impacted based on shift/noshift."
"648","@RonCho88 You need both.  You can't have a ""gentlemen's agreement"" of ""please, use this tool, now don't delay too much either"".  

Umpires break up mound meetings all the time, too.  You need to have some sort of control on the pace."
"649","@DriveThruDuck @mike_petriello @jaysonst Yup, Theo mentioned both those things: depth restrictions (none of the 4 can go deeper than the dirt), and side-to-side restrictions (2 on each side of the 2b bag)."
"650","@RonCho88 Avoid?  You can't avoid the timer."
"651","This is why we test things... some things work out, some don't, and some require tweaks... https://t.co/0QRqG6aZ21 https://t.co/cQfxvLNhOD"
"652","@AudacityOfHoops @thedickbutkus Right, you have to be thoughtful about this.  You might care alot more about QB than an OT, so now you might even do a weighted average.  Missing on a QB maybe is 10X, missing on a punter is 1X, or whatnot.

Ideally, all these are established before-hand."
"653","Whoah, when is the last time Cleveland extended someone to such a big deal? https://t.co/oFriTx3Dkc"
"654","@toner564 Yeah, definitely.  It would be unfair for example for your forecasting system to be designed to minimize absolute differences, and be evaluated on the square of the differences.

That's why you should state up front what your system is designed to do."
"655","@AudacityOfHoops Predicting @thedickbutkus to not play in 2022 and him not playing in 2022 is not really a tally in the ""win"" column, is it?"
"656","@toner564 And another relevant post on the subject:

https://t.co/hQXVjKd6sS"
"657","@AudacityOfHoops So for example, a rookie that you did not forecast to play, and ends up playing 8 games means you forecasted 0, and so you were off by 8."
"658","@AudacityOfHoops Every player who ends up playing in the 2022 season, plus every player who you forecasted to play in the 2022 season, but did not end up playing."
"659","@toner564 @AdamHarstad Definitely.  You'll be surprised how easy it is to create a forecasting system.  This was the impetus for The Marcels because I was tired of everyone putting out substandard systems AND making it a black box.

Hopefully there are NFL, NBA, NHL versions of The Marcels?"
"660","@toner564 100% guaranteed you should never (ever) predict a full slate of games.

In NHL for example, you'd likely cap it off at 79 games, maybe 80, as the top-end number.

https://t.co/gU2eAQ4zO0"
"661","@DrJesseMorse @Cubsfan_97 Based on my readers (and poll is still ongoing, so this is current results), they expect you to be within +/- 1 game for 55% of the players, and +/- 2 games 75% of the players.

Feel free to repost it for your followers and see how they see it..."
"662","@DrJesseMorse @Cubsfan_97 Trial and error... I've done literally hundreds of polls... just a matter of getting the rhythm..."
"663","Rob thinks he's editing a movie, and taking out all called balls!

Missing in all this sequence is 3 called balls. And also missing is next time up, with 4 straight called balls

Add it up: 
10 pitches
0 swings
1 strikeout
1 walk
=&gt; .350 wOBA

Doing that to Ohtani is good though! https://t.co/qk5wPt8U4P"
"664","@tjmaccarone Do it position by position, then give me an overall number."
"665","@DrJesseMorse @Cubsfan_97 Here's two versions:

https://t.co/Ltk2gWrgu8

https://t.co/VLY3FYX2rP

It's gotta be verifiable by a third party..."
"666","Someone's model can predict the number of games an NFL player plays, within 1, for [blank] % of players.

e.g. When the model says ""11 games"", it's ""right"" when the player actually plays 10-12 games.

What's the minimum number you'd expect from a model?"
"667","Someone's model can predict the number of games an NFL player plays, within 2, for [blank] % of players.

e.g. When the model says ""11 games"", it's ""right"" when the player actually plays 9-13 games.

What's the minimum number you'd expect from a model?"
"668","Marner is overpaid and they should trade him immedia.... oh.
-- A Leafs fan, at least once a month over the last six seasons https://t.co/eVE6nPt3kR"
"669","@DrJesseMorse @Cubsfan_97 Your initial poll doesn't convey what your last post is going after."
"670","@DrJesseMorse @Cubsfan_97 You said: 
""If there is a rough prediction about which players are more likely to get injured in the upcoming season""

If it's 100% get injured, then... what are you asking here?"
"671","@VorosM @jm_nugent1 I don't know who has been conditioned to what.  But in no way is anything ""gospel""... not even itself!"
"672","@Cubsfan_97 @DrJesseMorse I'd have to know the % of players that do get injured.  If it's 10%, then 50% accuracy is great!  If it's 45%, then 50% accuracy is probably terrible."
"673","As always in these polls, what is ""clear"" is never clear.  The majority prefer rules to adapt so we can get a ""constant"" game.  

But, there's a healthy minority that thinks the opposite.

And a bunch of folks that just don't even want this discussed at all. https://t.co/YHMUUN4Zap https://t.co/A5Se6MDSBY"
"674","@TheMagnusPI As someone who watches football on occasion, and I don't keep up with whatever the rules are, I find it hugely helpful when they explain the calls.

I can see a newcomer to baseball really appreciate an umpire explaining the call."
"675","1:10 to 1:18, discussion on outfield alignment... https://t.co/m7BpOpC8eY"
"676","In order for the game to *not* change, the rules *have* to change

Which do you prefer: 

A. The game to look and feel way it was when you were a kid?  (And rules to change to match that)

B. The rules to be same as it was when you were a kid? (And the game to change as a result)"
"677","If you don't have uncertainty, you are not a scientist"
"678","Have you had your FIRST covid booster?

Are you eligible for a SECOND booster (weakened immune, or age 50+)?

Will you take the 2nd one?"
"679","Any chance one of them is #45 and the other is #54 ? https://t.co/kZv4ZZQWUQ"
"680","According to a [team name withheld] fan, since 1968, no player has scored 50 goals in 50 games, and no team has won a Stanley Cup."
"681","Ohtani should get traded every week, so that each team gets to have him on their roster once per season."
"682","According to twitter-logic, I'm supposed to say:

""Goalies are so bad this year lol""

It's important to add that ""lol"" at the end, so that something you are totally wrong about puts the other person on the defensive. https://t.co/Djz3KJZfvP"
"683","@BrianS239 Naturally, for a weak batter, the breakeven point is even lower.  And for a great batter, the breakeven point is much higher.  That's one reason big time hitters don't bunt much.

That said, yes, they should bunt more.  This was my proudest saber-moment:

https://t.co/49vvGEvoj7"
"684","@BrianS239 .. the breakeven point: 40% x 0.8 = .320, which is league average wOBA (and OBP).

On an 0-2 count, the league wOBA is over 100 points less.  So, breakeven is closer to 25%."
"685","@BrianS239 That's correct, not with two strikes.  But you are also correct the breakeven point would be lower with 2 strikes (at least with a 0-2 or 1-2 count).

Best way to think about it is using wOBA.  A bunt single is roughly worth 0.8 wOBA points.  So, in a random situation, 40% is..."
"686","@BrianS239 A failed bunt on 2 strikes is an out... that's why shifts are prevalent with 2 strikes."
"687","Incredibly, some folks are saying, with conviction, that there's ""too much"" excitement when things like this happen... and someone else is actually paying them to say that. https://t.co/z6WG3odb53"
"688","@BrianS239 You mean less than 2 strikes?

We've been asking since 2015..."
"689","@BrianS239 Sorry, who is saying the odds are betting to swing away?"
"690","@theabsolute19 @lindseyadler It's a common 100ms from pitch release.  It's not specific to each batter.

https://t.co/71izrbpgZQ"
"691","@padrenurgle @Matkanen @Ben13Porter https://t.co/jjbTvrKm9P"
"692","@duccimane15 @Matkanen @Ben13Porter The future"
"693","@Ben13Porter Watch the above play.

What do you think of the rule of stealing 1B on an uncaught pitch?"
"694","Of course this is a fantastic rule... https://t.co/lUKCPdFjYz"
"695","@cincyjames83 By National, you mean Canadian... right?"
"696","https://t.co/r6EcypXUHV"
"697","It is not part of ""the game"".

It's part of the NHL. It's not part of the Euro leagues. https://t.co/FT2Bfe5jCC"
"698","That works out to 5.2 feet for every 2 steps.  I average 5.0 feet. https://t.co/5LjEnIcF0N"
"699","@symphyotrichum @sigler_10 Right, that's exactly what I proposed in the past:

https://t.co/0wNaudi5U3"
"700","The Flyers are minus 39 when Yandle is on the ice.
The Flyers are minus 1 when Yandle is not on the ice. https://t.co/f8VElI3YQr"
"701","@sigler_10 https://t.co/0QHveXRASf"
"702","https://t.co/M1uUMXLByI"
"703","https://t.co/vSSTKSucvM"
"704","https://t.co/dM8o0FQSw3"
"705","https://t.co/I9k0NfVsPk https://t.co/B7Cg1wxn2H"
"706","https://t.co/cN2rAKPuvx"
"707","https://t.co/16iZyvwGFP"
"708","The Birth of the Lacrosse Goal in hockey (aka The Michigan)

https://t.co/hLdfpJ4ppO"
"709","One day he won't be a good enough batter for us to see him field.

And there's a dozen Billy Hamiltons *right now* who are not good enough batters for us to see them field. https://t.co/tGmUV59DFO"
"710","The NHL extended a special invite to Trevor Zegras at the all-star game to showcase his talent. It would be insane for players to take exception to what Zegras is doing.  We need more Zegras. https://t.co/WsLexdYjzU"
"711","@LanceBroz @kylemoto10 @pobguy @PitchingNinja @fangraphs I talked about it five years ago here:

https://t.co/BCUihDDhBl"
"712","@SD_DDMD @pobguy @PitchingNinja I go thru the math/physics of how to calculate the effect of gravity here:

https://t.co/mQNFzzIh70"
"713","@LanceBroz @kylemoto10 @pobguy @PitchingNinja @fangraphs Right, they must be using the old standard, which was at ~40 ft, instead of now, which is at release, or ~53 feet.

The net effect is (53/40)^2 = 1.7

So 10 inches on the old standard is 17 inches with the current standard.  Or thereabouts."
"714","@kylemoto10 @pobguy @PitchingNinja You should probably ask @fangraphs directly.  But, if you point me to something specific, I might be able to infer it"
"715","@pobguy @PitchingNinja Difference between the two is indeed 61 inches. https://t.co/ZK4awFYKnL"
"716","@pobguy @PitchingNinja Shortcut gravity calculation:
(523 / Speed) ^2

So in this case:
(523 / 67) ^2 = 61 inches

That leaves 16 inches induced.  Let me see if I can find this pitch..."
"717","Well said! https://t.co/8uVS0GHVV1"
"718","@ParadisoReale Aren't those what pet peeves are?"
"719","The distinction between ""left wing"" and ""right wing"" is really useless, made no more spectacularly obvious than when Ovechkin was both a 1st team AND 2nd team all-star at two different ""positions"".

https://t.co/gDEpkgtfxU https://t.co/RKxz4ZsndJ"
"720","Two thirds of yall who responded are coders

38% of coders have coded in assembly 

30% of assembly coders would recommend learning it https://t.co/E0Qs5qCohX"
"721","I've seen Ozzie Smith hit a HR, Tim Raines get caught stealing, and Tony Gwynn strikeout too... https://t.co/YlQhVLfiVB"
"722","Sounds like a brilliant concept... https://t.co/5Vm04PYKGE"
"723","@Kris_and_Cat I think that's a fair enough way to say it"
"724","@GlobeChadFinn I only have two memories, one of which is that mock cheer on an easy save and his raised glove response back.
The other is when he was pulled"
"725","I was at Patrick Roy's last game for the Habs https://t.co/j0oVwGlItS"
"726","@spoodadoo23 Do tell"
"727","@KevinBuffington I also 
- have a CS degree
- took an assembly course 
- never needed it since

But I think it is something I would recommend.  Or at least, I'd recommend learning a language that is one or two levels deeper than what you ultimately need @brandon_nickell 
https://t.co/RrqVvLKjN9"
"728","I was just going to tweet out that @bot_nhl will continue to sound believable to at least one person out there, as long as they don't tweet out that the Leafs win the Cup.

RIP @bot_nhl , you had a good run there https://t.co/w6KLKdE5qi"
"729","Are you a programmer (coder)?

Have you ever coded in an assembly language?

Do you think every programmer should code in an assembly language at least once?"
"730","@Sammich_BLT Oh, that's better... let me redo"
"731","@blumenfeldnate I don't doubt that's the case.  I'm just (highly) questioning the raw numbers being presented."
"732","Isn't this the plot to Back to the Future 2 ? https://t.co/JjlRqXRLET"
"733","McDavid is currently at 100 points after 67 games (Oilers played 68).  Assuming he finishes at 80 games, 100 / 67 x 80 = 119 https://t.co/rcnNQei4HU"
"734","@ezpalk Another argument for ""median"" @ChelseaParlett"
"735","https://t.co/VNi13PFq8R

Uhmmm... that doesn't sound right at all.  If I were to take a guess, I'd say it's half that at most.  I mean, maybe at Newport high rises by the river, right across from Path station, those are the prices.  But the ""average"" in Jersey City?  Sounds off. https://t.co/K5MBITpHlb"
"736","https://t.co/k4u4uZXSpC

Whatever (small) parts of the article I might question is nothing if it means we get this brilliantly stated point. https://t.co/NEJMxjSZRb https://t.co/wDg8frsyWG"
"737","https://t.co/Z1LmrZV2sD
Small change from above 46/162.  That's still 28%.

The extra game is for the ""natural"" inter-league rival being 2-home, 2-road.  The other 14 IL opponents is 3 games, either all-home or all-road."
"738","Pretty sure there's not a day that goes by that I don't use Stathead.  Guaranteed a week doesn't go by I don't use it at least a few times. https://t.co/HC2LcwYN9V"
"739","Then David Ayres https://t.co/EPhKK9wX2q"
"740","The McDavid thing is fantastic.

I'd also like to see this on @NHL_On_TNT https://t.co/vm6LgZp6Tf https://t.co/4cqhv9VetY"
"741","@Sky_Kalkman @mike_petriello Right, I'm excited to learn that.  I know outfield ones are close, as I've posted that a few years ago, but not recently.

The ones I'm most interested in is 1B.  The current positional adjustment there is really a combination of fielding and scarcity.  We'll be able to split it."
"742","@Sky_Kalkman @mike_petriello So, right now, all the infielders are compared to other fielders in that ""slice"".

All outfielders are compared to a common outfielder (so the whole outfield is treated as its own ""slice"" or territory).

Later this year, I can get into comparing slice to slice."
"743","@mike_petriello @Sky_Kalkman There are a few ""positional"" definitions that we may not be talking about the same thing.

Are we talking about location of fielders?  Are we talking about comparing SS to 2B to OF?

Are we talking about the run impact of infield v outfield plays?"
"744","Different sport, same idea  @JPosnanski https://t.co/xgnU3PsNGt"
"745","Until we roll out arm-portion, then to make comparison, you have to back out rARM and ARM values you see there to compare.

I'd focus on 2016-21 to see what Statcast is picking up that others may not. Also note Statcast puts all the positioning value to the team, not fielders. https://t.co/TARPHvXYGq https://t.co/nF6TEdjpTz"
"746","@FWDBaseball @fangraphs I'd hope you think Savant has more than just OAA!"
"747","Love it https://t.co/GhrPTdHivG"
"748","In terms of Iconic TV role, then iconic movie role: Captain Picard , Professor Xavier https://t.co/iCCXM6vxFs"
"749","@aaronmagoo Puck, not skater.

It doesn't have to be backwards. Lateral also terminates the shot."
"750","@StinkfaceM @twistedleafs It doesn't have to be intentional... it was reckless, which should also be called."
"751","https://t.co/1aIeRlW6HK

Check it out at the 2:09 mark... a lacrosse-style spin-o-rama... the only one where the goal is shot in front of the goalie the whole way"
"752","Still the same rule. https://t.co/ELpHip4mF0"
"753","Unless they've changed the rule: the puck has to always be in a FORWARD MOTION toward the net.  This seems to me that the puck has gone, at best, laterally, and realistically backward.

As for the goalie: get in his face. As soon as that puck goes backwards, the shootout is over. https://t.co/onbrpYvmEu https://t.co/cTCbENVGJT"
"754","@TewksHitting @JeffFletcherOCR @PeloteroPickle Human eyes don't work like this... https://t.co/8phufwBxNO"
"755","@JamesDAttwood Some bands can only exist in their time.  Chumbawamba is a good example."
"756","@TewksHitting @JeffFletcherOCR Framing is about presenting a strike as a strike."
"757","Post this:
[insert popular band] were a one hit wonder

wait an hour

You will be trending on twitter

Apparently, saying something so obviously ridiculously over the top is treated as serious by #MusicTwitter"
"758","Highest SB%, min 200 SB... I knew Beltran finally was ahead of Raines.   I definitely did not expect Trout to be third.

Source: @baseball_ref https://t.co/MBLE031LDM"
"759","My prediction: if/when the Royals are eliminated from making the playoffs, Greinke will be a P/DH in all his starts. https://t.co/RwSO78Nzem"
"760","@mattypabst Pass to who?  Watch the video..."
"761","This was a 1-on-1... what is that dude thinking in skating backwards?!? https://t.co/4hdFiJ4gRe https://t.co/ZDEfxxDSF4"
"762","@DigsPitcher @holdoversports Park factors is an improvement.

Removing runs allowed is an alternative.  Not necessarily an improvement."
"763","@DigsPitcher @holdoversports ... out of my way to include it, it now becomes a philosophical point, a discussion about perspectives.  It's an opinion."
"764","@DigsPitcher @holdoversports I would not say ""improvement"".  After all, my version of Game Score is based on three specific methods:
Runs Allowed
FIP
wOBA

The version shown above is some combination of the latter 2.  If I wanted to, I could have eschewed the Runs Allowed component too!

Since I went..."
"765","@Kris_and_Cat @DTrainn_23 https://t.co/drzoOJmxjo"
"766","@Kris_and_Cat @DTrainn_23 You used that word to describe a pitch.  I can't stand that word.  I hope you follow hockey, because that's a five minute major."
"767","... It's all relative.  One thing I can tell you: it is rare that you will find a unique pitch (unless you want to argue every pitch is unique like a snowflake). @DTrainn_23 is one such exception. In no way does he throw a ""changeup"" in traditional sense.

https://t.co/EJWqnepGdR https://t.co/iegEroZATW"
"768","... see where it lands on the above.  Now, there are of course complications.  If a pitcher throws his fastball 100, then that will ""stretch"" his pitch speed chart. So, you need to put it into that pitcher's context.

Similarly, the pitch movements may stretch as well..."
"769","A Primer on pitch classification: How do you compare to Kyle Gibson?

The dark circles are Gibson's six pitches.  The lighter wheels are league average.  On the left, the pink are his pitch speed, with the gray league average behind.

In order to know what pitch you are seeing... https://t.co/lybigbVnRz"
"770","This game is available, without broadcasters.  There's probably no better sound in sports than the constant skating on ice.  And you can hear the players as well.  This is fantastic that it's available for everyone.

https://t.co/kReMUqNIgS"
"771","@joe__violette We didn't have any problem for well over 100 years... so, I think the blueprint is there..."
"772","@Neilmak68 We actually keep track, and, well... the AL was not at a disadvantage:

This is their road records in inter-league games, 2005-2017 https://t.co/yrcfaCIe5A"
"773","Existence of Twitter justified for today https://t.co/RM1rI9yODe"
"774","In 2019: NL won 166 games to the 134 for AL
In 2021: AL won 167 games to the 133 for NL

In 2020, when we had no leagues, but we had AL and NL divisions: each was 149-149.

Is the AL better?  Is the NL better?  Are they totally equals?  I dunno...

https://t.co/7LlhkGVE24"
"775","@joe__violette Some folks don't even want to limit pickoff throws.  There's literally nothing stopping the pitcher from making a dozen pickoff throws if he so chooses.

Just the opposing fans booing him..."
"776","@bhabs37 Wordle was cool until NY Times took over.  Just a matter of time when it becomes seven letters, and the best starter word is ERUDITE, and the winning word is similar words you'd never speak out loud."
"777","I have watched every minute of Seinfeld when it came out. And I continue to rewatch it.

We loved every minute of Modern Family, and I'd recommend it for someone to binge. And yet I will never rewatch it ever again. https://t.co/i3QjhkTfkL"
"778","@joe__violette ""When you become aware of time is when the sections of the film don't work""
-- Al Pacino

My favorite time coding is when I realize I coded thru dinner.  Or I look at the clock and it's already past midnight."
"779","@joe__violette You are incorrect ""no time limit"" is a major strength. This argues for unlimited mound visits and unlimited pickoff throws and unlimited arguing of calls.

You mean there's no time limit on the ACTION plays.  The problem is that there's also no time limit when there's no action."
"780","I don't think this means what I think this means... https://t.co/PiZHhPjG2G"
"781","That's a succinct way of describing ""pace of the play""...

https://t.co/jgYexc5UoS https://t.co/0V2hr2zMC9"
"782","Toronto is a cool city in the same way NJ is a cool state. https://t.co/BERfj1cHeN"
"783","So @AM34 knows how to pass too? https://t.co/3LFpbqUFAg"
"784","@jandbdupree @TheSavBananas @YellowTuxJesse Y'all should hire John Tortorella. Every time he says no, that's means you have a winner play."
"785","Genius!  I'd probably make it ""1"" instead of ""3 or less""... https://t.co/4N8HuZMO2h"
"786","RIP U24 https://t.co/pqdwknfIRO"
"787","@ilyaisgoat2 Have you ever met a Leafs fan?"
"788","Take a Yankees fan.  

Remove their 7 championships since 1968.

You are left with a Leafs fan. https://t.co/V5SfTqerK8"
"789","@EstebanNG_ Esteban is also good people, so if you have a chance to work with him and his team, it might work out for you.

Same ""heard it from Tango"" provision..."
"790","@SmythsMullet @PierreVLeBrun Let's see... Connors... McDavid born in 1997, Bedard in 2005.... looks like 8 years to me."
"791","@FreeBearly Half a WIN you meant.  Yes, the superstar to end all superstars... in tabletop games. Boy did my older brother hate me when I figured out this was the league MVP.  1.1 WAR on 27 PA, or an average of 28.5 WAR on 700 PA."
"792","I worked with @RyanKruse when we were with the Cubs, and lots of y'all know about Rob from @HockeyAbstract .  Good people. Seems like a great job for someone out there.  Say you ""heard it from Tango""... might not help, but definitely won't hurt.

https://t.co/owPi7A738R"
"793","@SmythsMullet @PierreVLeBrun I totally agree with you: those players come along once every 8 years, so 2016 plus 8 is.... oh... waitaminute."
"794","When you have a successful team, best thing to do is... shelve it? https://t.co/Jzt0xXe9rr"
"795","In his last three seasons, Ted Williams had a .991 OPS.  That was LOWER than this guy.  Other than Barry Bonds, can anyone else compare?  I don't think so. https://t.co/sAwj83S8RC"
"796","@n_ekke @Hurtubisedude @PierreVLeBrun https://t.co/XeAbyy2qBF"
"797","@JoePompliano https://t.co/lgzPexdswV"
"798","@Alex_Caravan 99% tables"
"799","@themmatob What is dbt?  And why do you think it would be the natural solution for what I am doing?"
"800","@Alex_Caravan Neither... it's the set of SQL scripts in this one job"
"801","Steve Smith scored the Calgary Flames goal that kept the Oilers from competing in 1986 Stanley Cup Final, breaking up their 5-year Cup run into 4 wins in 5 years, and allowed the emergence of rookie Patrick Roy to go unabated

Smith played FOR the Oilers.

https://t.co/3DHptiYZUN"
"802","@twolinepass First day following hockey?  Welcome!"
"803","This is what powers Baseball Savant https://t.co/yXhdeIfP2Z"
"804","@seidlersburner @meanderingemu I mean, it's close to that.  It's an insurance thing.  You want to be insured, you wear protective gear, pretty straight forward.

I suppose they could put in the CBA an exemption to purchase your own premiums at 10% of your salary, or whatever the actuarial tables suggest."
"805","@meanderingemu @seidlersburner But you can't ""imagine"" Glenn Hall in the same way? https://t.co/kGPOr5D3ua"
"806","Did 30% of y'all misread the question?

Maybe I should have said ""someone like Guy Lafleur""... https://t.co/il2H81CNey"
"807","Obviously ""fat finger"".... always beware of taking results too literally. https://t.co/il2H81CNey https://t.co/YGqXotD4gO"
"808","Can you imagine a hockey player playing his entire career without a helmet TODAY?

Can you imagine a hockey goalie playing his entire career without a face mask TODAY?"
"809","@LedgerSko In 20 years, those hardliners won't be in a position of power (or they may be departed)."
"810","@ezpalk Option 4 is: I don't follow NHL.  In other words, it's a way for you to look at the results without participating.  In other words: throwing away your vote."
"811","@LedgerSko Then you'd be wrong"
"812","Do you follow the NHL?

When do you think the NHL will have a match penalty (ejection) for fighting?"
"813","@LeeTrocinski @ASimpsonWPG Excellent will use that next time"
"814","A quarter of y'all have to explain yourselves... https://t.co/WcT0QJsajn"
"815","It's a legit call on Oshie.  Just because the even more legit call was not made on his opponent doesn't mean he gets carte blanche to retaliate.

I've yet to see one hockey penalty in my decades of watching where the player accepts the call. https://t.co/a8NSV8ruir"
"816","Expos:

Year 1: 4.00 ERA, 50 SB, 10 CS, ZERO pitchouts
Year 2: 5.00 ERA, 40 SB, 40 CS, TONS of pitchouts

All pitchers and catchers are in their mid to late 20s.

Which Expos approach led to the better baserunning performance for the Expos?"
"817","@stlfanbc7 Team 1 gets tons of strikeouts.  

Team 2 shifts, gives away too many strikeouts in return for limited batted ball outs."
"818","@jessek_86 Change ""if"" to ""since""..."
"819","DEFENSE = pitching + fielding + positioning

avg BABIP = .300
avg wOBA = .320

Team 1: .310 BABIP / .310 wOBA / never shifts
Team 2: .290 BABIP / .330 wOBA / always shifts

Which team has the better DEFENSE?"
"820","@mrsvibbermath I'd say this: ""The IQR is the difference in the points that represents the 25th and 75th percentile of a dataset, the range of which would naturally include the median... as well as the 68.9th percentile.""

So I think lack of words and missing comma contributes to the confusion."
"821","@mrsvibbermath I think it's just a clumsy way to say it.  The IQR is calculated based on the middle 50% of the data.  So, I think saying ""includes the median"" is a clumsy way to say it.

You can just as well say this: "".... includes the data point at the 68.9th percentile""."
"822","@DavidMo83035800 @billjamesonline Bill was at the forefront of ""reboots"" before reboots was cool..."
"823","Spent 30 minutes with @OptimumHelp trying to reverse a ""double billing"" for a box-swap.  And it's still not resolved.  It has to be escalated.  

Just seems like an insane business practice to double-bill, and they hope customers don't notice..."
"824","@Filla_Mignon 3% per foot can be derived simply using physics of a batted ball.  If you are not familiar with the trajectory calculator from @pobguy, I highly recommend it adding it to your saber toolshed:
https://t.co/ArhiP47Hp4

Or, you can derive it using intuition.
https://t.co/nuyu5CvYxZ"
"825","We should expect about ~80% as many HR as Camden in 2022 as we'd otherwise expect.

Interestingly, there were about 80% as many HR hit in Oriole games away from Camden as Orioles games at Camden (per batted ball).

In other words: we should end up with a neutral (for HR) Camden."
"826","Could we figure this, without doing all the physics?

Each foot extended will give you 97% as many HR. Figure about 32 feet for fence moved back and up.  .97^32 = 37.7%, or 62.3% lost. It affects one-third of park, so ~20.8% lost. With 878 HR in 2018-21: 878 x .208 = 182 (v 196) https://t.co/NNFHOwoJdw"
"827","I remember loving it at the time.  

I also remember thinking it was crazy they had SP and RP equally weighted. Not to mention the catcher equal to the entire infield. https://t.co/sEkOG3D3Ws"
"828","This clip is from last year...

https://t.co/KldIwnxFdl"
"829","https://t.co/AVdexsRF9b https://t.co/OQmVJNqcrf https://t.co/y9P0lJcAWn"
"830","@FiddleElphier I'd say once 25% leave the park, that triggers accelerated scoring rules.

No one leaves an NHL game. Place is packed from start to finish. Imagine regular season NHL with sudden death rules that goes into double OT. Fans would leave in droves, because it's 1/82nd of a season."
"831","This is exactly my argument for the XIPR (13:17)

""For a minor league player, this is Thank Goodness, this is finally going to be over here. There's no one in the stands, and I really want to go home tonight.""

Fans vote with their feet...

https://t.co/SqMPJf4up7"
"832","The ridiculous thing about Superman is they make him practically omnipotent: so to make him interesting, they have to introduce this magical rock that can only kill him and no one else. In every single movie.

He's more interesting as a ""solar battery"" where he needs to recharge. https://t.co/5w8Exz06kW"
"833","Ok, I'm sold! https://t.co/ocaVxCS7dE"
"834","@ChelseaParlett @fiftycente1 And the other one is the one Vicente linked to."
"835","@ChelseaParlett @fiftycente1 If you are trying to do something with students, then let me offer two examples, one easier than the other.  This one I think is the easier of the two:

https://t.co/aLc7gQOgyb"
"836","This always gets me... free shipping on orders 75$+ ... the item I want is 74.99 (with a helpful 2% discount). https://t.co/EGe6SJWKju"
"837","@bhabs37 Et tu Becky?

+/- is a *wonderful* stat... when adjusted, and especially adjusted over a career."
"838","Pretty wild.  Of course, PPG don't count toward +/-, but still a cool stat.

https://t.co/8VPnjxfaOg https://t.co/3aVfYmvnDI https://t.co/kLII5mjQpe"
"839","@burnsaay @ChrisEwanik @enosarris @JFreshHockey @EvolvingHockey @domluszczyszyn I'm semi-retired from hockey analysis, so only follow me for my hot takes on Gretzky, Mario, Hasek.

Ditto folks above. Plus @IneffectiveMath. And @SchuckersM just held an online conference. And @AlisonL and @HockeyAnalytics and @MeghanMHall and @alyssastweeting and @hayyyshayyy"
"840","Great opportunity here, with this extra love from @baseball_ref https://t.co/i1hdoZy8E3"
"841","A two-way player won the HR Derby with the Angels.

No, not Ohtani.
No, not Lorenzen.
Yes, Walsh. https://t.co/ysA260c9sV"
"842","@king_kaufman @TheSavBananas Time limits don't work in MLB.  I once saw an EXHIBITION game between the Expos/Jays where both teams agreed to a time limit, since the game was in the middle of the season.

https://t.co/jMiZKfTCgk https://t.co/Wmhd5aiOIN"
"843","@king_kaufman @TheSavBananas For example, this is totally legit way to do this.  Basically this makes it that the first run of each inning counts as two points, and every subsequent run is one point. It certainly promotes ""small ball"" that way.

It has a bit of the tennis scoring flavor to it. Very inspired. https://t.co/0PZ4B8P280"
"844","@king_kaufman @TheSavBananas I think it's alot more accurate to say ""Most of the Banana Ball rules are FUN, but not organic to the game""."
"845","@MeghanChayka @alyssastweeting Me two..."
"846","@natabone @jbbigstaff @ladymonicosplay @megelison Don't even talk to me about Gh-eye La-Floor.... terrible, terrible, terrible name.

Let Viggo show us the way...

https://t.co/ezzhfozzbl"
"847","@natabone @jbbigstaff @ladymonicosplay @megelison By the way, Melissa Benoit is a fantastic sounding name.

https://t.co/ow7eh8SnbB"
"848","@natabone @jbbigstaff @ladymonicosplay @megelison Whoah.  First off, I did not even know the word détroit.

Secondly, it's a GREAT sounding word. Come to think of it, we would say ""Les Redwings de Détroit"". Which makes even more sense now, that it wasn't an attempt to make an english-word sound French. But reclaiming the french."
"849","@natabone @jbbigstaff @ladymonicosplay @megelison I think there's a difference between Paris, which has the plausible excuse that the word looks like it could be English.  Versailles is a pure French word.  That ""le"" in there carries a ton of weight."
"850","@natabone @jbbigstaff @ladymonicosplay @megelison Detroit was french?  Learn something new, now I gotta go check that out.

The ""Nouveau/Nouvelles"" becoming ""New"" is in Canada as well.  That at least is an actual translation, rather than an attempt to change the pronunciation based on spelling of the word."
"851","@natabone @jbbigstaff @ladymonicosplay @megelison It's like taking an Italian word and changing the pronunciation of the suffix.  The beauty of the Italian language *is* that pronunciation.

Ver-sails is taking the beautiful sound of the French language and deciding you don't want it.

https://t.co/Pvc9MV9ECm"
"852","@jbbigstaff @natabone @ladymonicosplay @megelison The French pronunciation is clear.  The English pronunciation is an anglicized version of the French.

Ver-sails is not it."
"853","Goalie did two things wrong there.  The first is: he kept backing up.  Why would he do that?  The skater was going so slow, the skater'd never be able to get around him.  The second is as soon as the goalie went down, he left himself even more open. https://t.co/0m2XRuYus6"
